Distance,Bottom_D,Wind_Spd,Depthm,T_degC,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM,DarkAs,MeanAs,R_DYNHT,R_Nuts,Salnty
-169.362,3886.0,25.0,0,14.21,5.9,24.661,100.9,257.1524,0.34,0.13,0.34,2.4,0.0,0.0,0.0,0.02,0.23,0.0,0.0,33.08
-169.362,3886.0,25.0,2,14.21,5.9,24.661,100.9,257.1524,0.34,0.13,0.34,2.4,0.0,0.0,0.0,0.02,0.23,0.007,0.0,33.08
-169.362,3886.0,25.0,10,14.2,5.9,24.658,100.9,257.1531,0.34,0.12,0.33,2.3,0.0,0.0,0.0,0.02,2.2,0.033,0.0,33.075
-169.362,3886.0,25.0,14,14.22,5.9,24.658,100.9,257.1531,0.34,0.13,0.33,2.2,0.0,0.0,0.0,0.02,3.4,0.046,0.0,33.079
-169.362,3886.0,25.0,20,14.2,5.9,24.66,100.9,257.1526,0.35,0.11,0.32,2.2,0.0,0.1,0.0,0.02,3.3,0.066,0.0,33.073
-169.362,3886.0,25.0,30,14.22,5.9,24.66,100.9,257.1526,0.34,0.1,0.32,2.1,0.0,0.1,0.0,0.02,3.0,0.098,0.0,33.077
-169.362,3886.0,25.0,32,14.23,5.9,24.661,100.9,257.1524,0.34,0.1,0.32,2.1,0.0,0.1,0.0,0.02,3.0,0.105,0.0,33.084
-169.362,3886.0,25.0,47,14.24,5.89,24.664,100.8,256.7158,0.35,0.13,0.32,2.0,0.0,0.0,0.0,0.02,2.0,0.154,0.0,33.091
-169.362,3886.0,25.0,50,14.25,5.89,24.664,100.7,256.7158,0.36,0.1,0.31,2.0,0.0,0.0,0.0,0.02,1.8,0.164,0.0,33.086
-169.362,3886.0,25.0,62,14.26,5.83,24.659,99.8,254.1019,0.32,0.11,0.32,1.9,0.0,0.0,0.0,0.02,1.1,0.203,0.0,33.089
-169.362,3886.0,25.0,75,14.01,5.91,24.687,100.5,257.5817,0.33,0.1,0.34,2.0,0.02,0.1,0.06,0.02,0.65,0.246,0.06,33.05
-169.362,3886.0,25.0,91,13.54,5.8,24.828,97.8,252.7527,0.17,0.11,0.41,2.2,0.14,0.9,0.0,0.01,0.1,0.297,0.0,33.115
-38.393,2126.0,2.0,0,12.63,6.07,25.362,100.7,264.381,1.92,0.52,0.77,7.8,0.07,6.5,0.17,0.13,18.1,0.0,0.17,33.575
-38.393,2126.0,2.0,2,12.63,6.07,25.362,100.7,264.381,1.92,0.52,0.77,7.8,0.07,6.5,0.17,0.13,18.1,0.005,0.17,33.575
-38.393,2126.0,2.0,7,12.65,6.07,25.358,100.8,264.382,1.98,0.5,0.74,7.8,0.06,6.4,0.05,0.12,23.5,0.018,0.05,33.574
-38.393,2126.0,2.0,10,12.55,6.05,25.364,100.4,263.5094,1.98,0.57,0.75,7.8,0.06,6.6,0.05,0.11,20.1,0.026,0.05,33.571
-38.393,2126.0,2.0,15,12.53,6.01,25.383,99.5,261.7623,1.97,0.66,0.76,7.9,0.07,6.8,0.05,0.1,11.0,0.039,0.05,33.576
